V* AZ Cnc,8,40,29.67916,18,24,8.72625,44.160293,M6.0V
WISE J215949.48-480854.9,21,59,49.18702,-48,8,42.3855,44.134777,T9
G 164-65,13,19,34.69694,35,6,25.16951,44.120985,M3V
L 744-10,7,28,13.0626,-18,47,35.02475,44.093488,M4.5V
HD 10436,1,43,40.72397,63,49,24.23514,44.088898,K5Vbe
2MASS J15551573-0956055,15,55,15.7762,-9,56,6.03972,44.086931,L1.6V
PM J17476-5436,17,47,36.81545,-54,36,31.163,44.081152,DC
G 248-12,4,6,37.24067,79,16,1.42792,44.081032,dM5.5
G 96-6,4,52,34.60762,40,42,24.14719,44.033601,M5V
BD+62 780,5,45,48.27631,62,14,12.3856,44.004549,K7V
L 266-69,16,33,19.67466,-52,7,56.25419,43.999444,M4e
PM J05050+4414,5,5,5.91964,44,14,3.72794,43.992204,M5.0V
G 192-11,5,59,37.75196,58,35,34.84265,43.992085,M0.0V
2MASS J12545393-0122474,12,54,53.90406,-1,22,47.3994,43.965933,T2e:
SCR J0642-6707,6,42,27.14872,-67,7,19.77012,43.965874,M5.0
* ups And,1,36,47.84154,41,24,19.65137,43.959889,F9V
LP 672-42,11,30,41.82557,-8,5,42.98933,43.953550,M3.0V
G 192-12,5,59,55.68432,58,34,15.20888,43.953313,M4.2V
G 172-1,0,28,53.90911,50,22,33.12706,43.952129,M3.7V
LP 639-1,21,56,55.24705,-1,54,9.33456,43.944430,M5V
MCC 573,10,16,45.94863,-11,57,42.40557,43.933834,dM3.0
2MASS J16001853-4543248,16,0,18.50819,-45,43,25.32434,43.878335,
G 125-34,19,48,40.81064,35,55,17.24308,43.846717,M3.5V
L 749-34,9,16,20.64447,-18,37,32.90086,43.845244,M2V
2MASSI J2356547-155310,23,56,54.7704,-15,53,11.1336,43.838172,T5.8
G 113-46,8,34,25.88544,-1,8,39.55308,43.829689,M3.5V
EUVE J0625-60.0,6,25,56.09253,-60,3,27.04218,43.825331,M5Ve
G 62-28,13,18,1.72908,2,14,2.00678,43.811438,M3.5V
WT 766,21,1,7.41081,-49,7,25.0051,43.805553,M4.5
WISE J073444.02-715744.0,7,34,45.26673,-71,57,43.4314,43.779329,Y0
CD-31 909,2,16,41.19753,-30,59,18.22457,43.736180,M3Ve
HD 120476,13,49,4.0013,26,58,47.68146,43.732368,K4V+K6V
L 750-42,9,43,46.16348,-17,47,6.29077,43.729729,sdM3
CD-31 908,2,16,35.10683,-30,58,7.49087,43.698091,M3V
WISE J031624.35+430709.1,3,16,24.0557,43,7,10.8174,43.662115,T8
L 294-112,1,52,51.58544,-48,5,41.22136,43.656154,M4.5
G 31-53,0,28,39.46488,-6,39,49.17916,43.655862,dM4.0
G 124-27,14,21,15.12492,-1,7,19.80979,43.617272,dM4.0
G 155-29,18,38,44.746,-14,29,26.02116,43.608524,dM3.5
BD+46 1889,13,39,24.10228,46,11,11.36313,43.604618,M1.0V
2MASS J06272007-1114241,6,27,20.0796,-11,14,24.1152,43.603743,T6
LP 890-27,4,26,32.6433,-30,48,1.85489,43.566816,M4.5
V* CW UMa,11,11,51.74072,33,32,11.22992,43.554890,M3.5V
RX J0128.6-1457,1,28,39.51153,-14,58,4.73345,43.547795,M3.0Ve
2MASS J21210032-6239194,21,21,0.32856,-62,39,19.4508,43.545527,T2
WT 765,21,1,5.2013,-49,6,24.27244,43.519032,DA
LP 357-56,3,54,46.21466,24,16,24.62324,43.494020,M6V
Ross 708,18,23,28.34225,28,10,3.9252,43.487467,M3.5V
BD+27 4120,21,38,0.38433,27,43,25.47465,43.435344,M1V
WISEA J220304.18+461923.4,22,3,2.85784,46,19,26.3757,43.429561,T8
2MASS J16283855+2308241,16,28,38.55,23,8,24.198,43.429561,T7.0
2MASS J12255432-2739466,12,25,54.32328,-27,39,46.6776,43.429561,T5.5+T8
2MASS J15530228+1532369,15,53,2.28072,15,32,36.9132,43.429561,T6.5+T7.5
LP 801-9,14,47,25.34085,-17,42,15.75535,43.374808,DC10
WISE J001505.87-461517.6,0,15,5.51075,-46,15,10.2556,43.371809,T8
CWISEP J104756.81+545741.6,10,47,57.50372,54,57,42.1655,43.371809,
G 23-24,20,3,50.99648,5,59,44.2384,43.340225,M2.5V
BD-07 4156,15,59,53.38168,-8,15,11.54025,43.317604,M1V
HD 214749,22,40,43.38406,-29,40,28.12421,43.299949,K4.5Vk
LP 255-11,7,3,23.169,34,41,51.39051,43.287536,M4.0Ve
SSSPM J0306-3648,3,6,11.59891,-36,47,52.85386,43.246210,M8.7V
2MASS J11220826-3512363,11,22,8.25846,-35,12,36.58061,43.234974,T2.0
LP 21-224,13,53,38.7946,77,37,8.15021,43.210745,M4.0Ve
G 44-42,10,52,4.24347,13,59,51.30479,43.203075,M4V
WISEA J220922.09-273439.9,22,9,22.7063,-27,34,35.2091,43.199470,T7
LP 912-33,13,57,13.06428,-29,22,25.92486,43.194378,dM4.0
* 58 Eri,4,47,36.2917,-16,56,4.04047,43.182941,G2.5IV-V
HD 128165,14,33,28.86785,52,54,31.64787,43.160083,K3
BD+57 2735,23,24,30.51462,57,51,15.51788,43.158141,M1.5V
LP 500-35,14,28,4.15558,13,56,13.32903,43.149348,M7V
G 154-43,18,3,36.03613,-18,58,49.98225,43.140046,M5.0V
Ross 28,4,12,58.83263,52,36,42.02135,43.138334,M4.0V
2MASS J05002100+0330501,5,0,21.01164,3,30,50.08162,43.137706,L4pec
2MASS J18242359-0536488,18,24,23.5887,-5,36,49.23718,43.101963,M6.5
HD 29697,4,41,18.85521,20,54,5.44693,43.092737,K4V
HD 166348,18,12,21.39234,-43,26,41.45281,43.078394,M0V
CTOI 231279823.01,2,50,9.73462,-53,8,20.29101,43.073502,
HD 170657,18,31,18.96101,-18,54,31.72981,43.001492,K2V
WISE J132233.64-234016.8,13,22,33.642,-23,40,16.8672,42.994463,T8
L 119-21,22,38,29.75656,-65,22,42.66603,42.988797,M3Ve
Ross 10,1,38,21.61625,57,13,56.98804,42.979959,M2.5V
CD-55 1514,6,39,37.64314,-55,36,34.83523,42.944307,M0Vk:
HD 98712,11,21,26.66383,-20,27,13.62363,42.932210,K7V+M2.5Ve
CWISEP J102201.27+145520.2,10,22,1.82621,14,55,21.6065,42.915263,
G 195-57,10,9,29.96981,51,17,19.67952,42.907585,M4V
G 161-71,9,44,54.19251,-12,20,54.37619,42.886540,M5.0V
BD-17 6785,23,38,8.15672,-16,14,10.20149,42.859771,M2V
WISE J173551.72-820900.1,17,35,52.9014,-82,8,57.7174,42.858870,T6
2MASS J21171431-2940034,21,17,14.31216,-29,40,3.4176,42.858870,T0:
